g1	group
4.15596804807174	ctrl
4.48926861717348	ctrl
4.79619824134576	ctrl
3.62269990387024	ctrl
7.31259492634763	ctrl
5.28570656754187	ctrl
4.89771240024925	ctrl
3.53156778066548	ctrl
5.46906530130969	ctrl
5.89131128318123	ctrl
4.25297842767289	ctrl
4.32478417505252	ctrl
4.89317001408491	ctrl
6.18627379283439	ctrl
4.45966839387489	ctrl
3.48296498134084	ctrl
4.84562800653828	ctrl
4.14685452782751	ctrl
4.52083647637783	ctrl
4.17909555690932	ctrl
6.19618510289728	pre-sympto
4.48279953216576	pre-sympto
7.92908041290892	pre-sympto
3.89662462045296	pre-sympto
6.41618930476041	pre-sympto
4.70361983936731	pre-sympto
6.70304134091187	pre-sympto
6.4935589695	pre-sympto
5.53667119356457	pre-sympto
6.92753306514293	pre-sympto
7.08599743736275	pre-sympto
7.31175772051599	pre-sympto
5.44184352412289	pre-sympto
2.1020395927996	pre-sympto
6.22593016697562	pre-sympto
5.57423089063105	pre-sympto
6.07717823243451	pre-sympto
4.11268916433978	pre-sympto
3.23257538864533	pre-sympto
7.57597270023066	pre-sympto
6.96492572893644	pre-sympto
7.47375564121797	pre-sympto
5.63921480116808	pre-sympto
6.22521247258109	pre-sympto
5.31439331397945	pre-sympto
1.97650726331011	pre-sympto
5.46285504746782	pre-sympto
5.00441093475261	pre-sympto
4.64552791453105	pre-sympto
7.34032862202954	pre-sympto
5.97138225152965	sympto
8.05171373866452	sympto
7.83644766133748	sympto
8.18902763314218	sympto
4.88889361612606	sympto
8.11050031547995	sympto
8.55631728082832	sympto
8.80841571710464	sympto
3.41360181133184	sympto
10.9267873880699	sympto
4.23158233339514	sympto
5.14295706473842	sympto
6.59761402217266	sympto
7.60178066174608	sympto
6.31741357451394	sympto
9.02996548187769	sympto
8.23325888882824	sympto
6.50188105685864	sympto
6.13329870451782	sympto
8.18034684269149	sympto
8.89890105187446	sympto
5.65830470332796	sympto
6.41466207858334	sympto
7.3706718576316	sympto
7.78159280078826	sympto
6.9734044507982	sympto
8.69988603180299	sympto
6.18174443435641	sympto
7.48021279335835	sympto
4.68345221614345	sympto
5.34725316819356	sympto
5.76047957278431	sympto
6.11119182282853	sympto
8.13278940646792	sympto
6.25131331879744	sympto
5.3677404153212	sympto
4.79625770662424	sympto
8.66822615502857	sympto
8.36224582347124	sympto
7.54946701519711	sympto
4.44476943615919	sympto
9.68922131167639	sympto
8.84516718109937	sympto
5.09907306932348	sympto
6.23558469175877	sympto
5.71059121081895	sympto
5.76700009371516	sympto
2.65488709976101	sympto
8.75698811181159	sympto
7.08678851882338	sympto
